Task ID,Task Name,Photo by,Action Type,Text,Environment,Taxonomy,Skill,HDF5 count,length(step),Data Size(GB),evaluation,comments,Sound data,Box URL,??,??,Date,Total steps
0000,ex.) convenience_pick,Name,Pick object from shelf,,"robot: UR5e, RBG camera: 2, audio_none",,,"5,757",,none,none,?????????????NPZ???????????,FALSE,https://aist.box.com/s/tfaubnjzsfe7n3uk8iam95zmytqe1xo3, BOX?NAS,?NAS??,,0
0001,peel_film,,Peel film with left arm,Remove the film using the left arm.,"robot : ALOHA, RBG camera : 4, curtain_none, audio_none",Synchronous Bimanual,peel,50,1000,185,?,????????????????????????????????,FALSE,https://aist.box.com/s/korduzq9uepq3ez4b0sqw0hp5vkkpt7l,FALSE,FALSE,2024/09/02,50000
0002,usb_rightarm,,Insert usb into hub with right arm,Plug the USB into the hub using the right arm.,"robot : ALOHA, RBG camera : 4, separate audio",Independant,insert,50,1000,190,�,?????????usb???????????????????????????????????,FALSE,https://aist.box.com/s/vwdg5ds78g8boet4sgbgslrqpp8n1tfb,FALSE,FALSE,2024/09/03,50000
0003,bluebox_right_left,,Pass box from right arm to left arm and left arm to rihgt arm,Pass the blue block from the right arm to the left arm.,"robot : ALOHA, RBG camera : 4, separate audio",Asynchronous Bimanual,hand-over,50,1000,192,�,??????????????????????????????????????????????????????????,FALSE,https://aist.box.com/s/prdp2pjuluk5s4nza1huceigu44fgirp,FALSE,FALSE,2024/09/03,50000
0004,peel_ducttape,,Peeling duct tape using both arms.,Peel the tape with your right arm.,"robot : ALOHA, RBG camera : 4, separate audio",Synchronous Bimanual,peel,50,1000,178,?,??????????????????,FALSE,https://aist.box.com/s/e78b5fxlzu0jxpqgivh84c63gsyqgoel,FALSE,FALSE,2024/09/03,50000
0005,pull_rubberband,,Pulling a rubberband with both arms.,Pull the rubber band with both arms.,"robot : ALOHA, RBG camera : 4, separate audio",Synchronous Bimanual,pull,50,1000,34,�,???????????????????????????????????????????????????????????????????????,FALSE,https://aist.box.com/s/0uy73f1z3pk8bgvd6pcjoon65wgvzx3j,FALSE,FALSE,2024/09/03,50000
0006,usb_leftarm,,Insert usb into hub with left arm,Insert the USB with your left arm.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, separate audio",Independant,insert,50,1000,322,?,??????????????????????????????????????????????????,FALSE,https://aist.box.com/s/8g5gtlv9owweez2lqvn1r9binp1sd7kj,FALSE,FALSE,2024/09/03,50000
0007,gear_task_washer1_len700,Shiba,Put washer on shaft,Put the washer on the shaft.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Independant,place,50,700,237,?,epoch3500??????????????????????????????????????????????????????????????????????????????epoch(????)?2000??5000????????epoch????????????1000????????3000??????????????,FALSE,https://aist.box.com/s/6159jysh6qzd50yzn834ak01th6p7na2,TRUE,TRUE,2024/09/03,35000
0008,gear_task_gear_len500,Shiba,Put big gear on shaft,Put the large gear on the shaft.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Independant,place,50,500,175,?,epoch3000????????????????????????????????????????,FALSE,https://aist.box.com/s/zsh0khpwysycak95wxqbrsyo02g1rb9v,TRUE,TRUE,2024/09/11,25000
0009,gear_task_gear_len700,Shiba,Put small gear on shaft,Put the small gear on the shaft.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Independant,place,50,700,238,?,epoch3500?????????????????????????????????????????????????02_gear??????????????,FALSE,https://aist.box.com/s/sr6l759v2llx5rlgd7vpghyntp754g5b,TRUE,TRUE,2024/09/11,35000
0010,gear_task_washer2_len700,Shiba,Put washer on shaft,Put the washer on the shaft.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Independant,place,50,700,237,?,??????????????????????????01_washer???????????????????????????????????????????????????,FALSE,https://aist.box.com/s/nkjxxsu6xngng7h93u5zyhu4x0kcroay,TRUE,TRUE,2024/09/11,35000
0011,insert_usb_cable,Hayase,Insert the male usb cable into the female usb cable with both arms,Insert the USB using both arms.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Asynchronous Bimanual,insert,50,1000,290,pending,???,FALSE,https://aist.box.com/s/iktmnvngr2aybdcmcennrzveua9dogil,TRUE,TRUE,2024/09/03,50000
0012,insert_usb_cable_fix_parts,Hayase,Insert the male usb cable into the female usb cable on vise-mounted base,Insert the USB cable into the fixed female connector.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Independant,insert,50,1000,290,�,USB???????????????????????????????????????????????????????,FALSE,https://aist.box.com/s/dpfnladbfjfpzs54t1ckkikbmcj5cckg,TRUE,TRUE,2024/09/03,50000
0013,insert_usb_cable_fixed_by_robot,Hayase,Insert the male usb cable into the female usb cable on amall vise-mounted base,Insert the USB cable into the female connector supported by the left arm.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Asynchronous Bimanual,insert,50,1000,290,�,??????????????????????????????????????????,FALSE,https://aist.box.com/s/3e3fasz3ui8vj0cg939uuscwa3fvb3tg,TRUE,TRUE,2024/09/03,50000
0014,usb_plugin_pcbox,Shiba,Search and insert usb into pcbox with right arm,Insert the USB into the PC box while searching with the right arm.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Independant,insert,50,1000,322,?,???????????????????????????????????????????????????????????USB???PC???????????????,FALSE,https://aist.box.com/s/qfmuyefiax3c9uzr7w5whvudho936ijs,TRUE,TRUE,2024/09/02,50000
0015,gear_task_001_01,Shiba,Put big gear on shaft,Insert the large gear onto the shaft.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Independant,place,50,1000,310,?,video3?????????????????????????????????????????????????????????????????????,FALSE,https://aist.box.com/s/enlgs14chit1bav0poxx1lnzcsvr6oa1,TRUE,TRUE,2024/09/12,50000
0016,gear_task_001_02,Shiba,Put medium gear on shaft,Insert the small gear onto the shaft.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Independant,place,50,1000,305,�,???????????????????????????????????????????????????,FALSE,https://aist.box.com/s/qjv05ngbolumnvwkp1tnci7op5lra1pn,TRUE,TRUE,2024/09/12,50000
0017,gear_task_002_01,Shiba,Put medium gear on shaft,Find the location of the shaft and insert the large gear.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Independant,place,50,1000,305,?,epoch3500?video0??????????????????????????????????????????????????????????????,FALSE,https://aist.box.com/s/egpa8cd5q6m8zvzff6i41u13g4b7ngb3,TRUE,TRUE,2024/09/12,50000
0018,gear_task_002_02,Shiba,Put small gear on shaft,Find the location of the shaft and insert the small gear.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Independant,place,50,1000,305,�,???????????????????????????????????????????????????,FALSE,https://aist.box.com/s/e474p05gno24h0kqii4fjihtylqcx326,TRUE,TRUE,2024/09/13,50000
0019,gear_task_003_01,Shiba,Put big gear on shaft,Insert the large gear onto the shaft.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Independant,place,50,1000,327,?,????????????????????????????????????????????????????????????????????????????????????????????????,FALSE,https://aist.box.com/s/7nwlpomphcwq3hgdeoeju40oeu3n7jcw,TRUE,TRUE,2024/09/19,50000
0020,gear_task_003_02,Shiba,Put medium gear on shaft,Insert the small gear onto the shaft.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Independant,place,50,1000,327,?,epoch_best_video0????,FALSE,https://aist.box.com/s/gulj0ft4hazxplcxneuclf0qlrtdqnnh,TRUE,TRUE,2024/09/19,50000
0021,gear_task_004_01,Shiba,Put medium gear on shaft,Find the location of the shaft and insert the large gear.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Independant,place,50,1000,327,?,????????????????????????????????????????????????????????????????????????????????????????????????,FALSE,https://aist.box.com/s/h0zf6x9hj88oidoq7fpz8ykknzy6tx0j,TRUE,TRUE,2024/10/02,50000
0022,gear_task_004_02,Shiba,Put small gear on shaft,Find the location of the shaft and insert the small gear.,"robot : ALOHA, RBG camera : 4, Depth camera : 2, 8videos grid, audio in hdf5",Independant,place,50,1000,327,?,????????????????????????????????????????????????????????????????????????????????????????????????,FALSE,https://aist.box.com/s/7ltyihh9h63htegk69r6x0wy4tunc070,TRUE,TRUE,2024/10/02,50000
